address,version,token0,token1,decimals0,decimals1,fee
0xE15347de0C10dF8Da0ec12BE10e1dBaeA556A3Df,3,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xeF04bd2AD652C6C4EFc86cc7432ebff7e23cb983,18,8,10000
0x951e678454Cdd1c279362683a975e0482EF23fBa,3,0x4ab8eBA878A29f16C700af3BAD6CCFD9a13097F2,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,9,18,10000
0xd3Be770278DBB8F0EC34aa8508FebdAD5dF10022,3,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xD85a6Ae55a7f33B0ee113C234d2EE308EdeAF7fD,18,18,3000
0xaD76Da68a204fe301CC9b1c60F7166db73D35e76,3,0x883a8108e562e19ADC92932022c11CA06F4f921A,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,3000
0x82790b21EA1fc6c84Dc46ABB533aBE9ed99757e9,3,0x6f2386c15D64CD193d686982ef1e97462aA69e1a,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,10000
0xF8f49097fAB6B14bb1ccd424C43079EA3fa82446,3,0x03ab458634910AaD20eF5f1C8ee96F1D6ac54919,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,18,18,3000
0xC9A90FD43B224C94B5FD56231231Ef6B209f8B78,3,0x0b9A61648331D3Bf850182626DB85281B8043126,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,500
0x6A2259aC6714c6DD825F7fD615Fb7ECde05Eb09F,3,0x0557E0d15aeC0b9026dD17aA874fDf7d182A2cEB,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,6,18,3000
0xf2eD0fb5B032f0106b169179878dDe197d08DCc5,3,0x8EF47555856f6Ce2E0cd7C36AeF4FAb317d2e2E2,0x9b53E429B0baDd98ef7F01F03702986c516a5715,18,18,10000
0x93D1DF74317D18550E197c146eD29f178D027265,3,0x083a96c390c942Def68b6343d1c651eEaE604B50,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,10000
0x6130A21CB799b1567b7B0e6Eb0205EBDc167C655,3,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xC6e8857F1417aDC22B649605d3727F07cEbCD84a,18,18,500
0x7c6C590A9d766665b97f3F26966e74F768177C6E,3,0x0b9A61648331D3Bf850182626DB85281B8043126,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,10000
0x68aDd60da802f739B84505Aafdb6145Be4d41162,3,0x8b01eBC7cCc7385e490a394a891DD52C36976C39,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,10000
0x2f9bE30384cEF5D17F22a43869A32c19A59ED585,3,0xD487892BB4C57edBe7aB401d9fe801c8FE6473f5,0xdAC17F958D2ee523a2206206994597C13D831ec7,18,6,3000
0x7F1864750E943C4cf187c6aBe3Ef6C1F004B6e94,3,0x4c36c11E7979566D9e5ea926802672998EB91dcB,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0,18,10000
0x83606A6Ed800bec388bEC1299b49D32c1f92e616,3,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xd0345D30FD918D7682398ACbCdf139C808998709,18,18,3000
0xccCE35F1EaCf0acC67e2FE5BB0d608192Ccc36f8,3,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xB64ef51C888972c908CFacf59B47C1AfBC0Ab8aC,6,8,10000
0x095963D48C8676946118AB9ea17FC58C445FfCfC,3,0x362bc847A3a9637d3af6624EeC853618a43ed7D2,0xdAC17F958D2ee523a2206206994597C13D831ec7,18,6,10000
0x829E48EFcFf5E879a8e1a789AC173449dEcB591F,3,0x6B175474E89094C44Da98b954EedeAC495271d0F,0x956F47F50A910163D8BF957Cf5846D573E7f87CA,18,18,3000
0xE619727A5fa81FA95964Ee72f762c1eC35F2B475,3,0x1284312a7964D489b537C409A106205C2178500B,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,3000
0x4439a8002234616e673d3a8768bB16e7b4e96fC6,3,0x992DBE6C589d5486B3802816E4f2877dc3e79c53,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,500
0xB74734c0FEdFaBe4DAD2CFB63428DCBEaEF57791,3,0x584bC13c7D411c00c01A62e8019472dE68768430,0x837010619aeb2AE24141605aFC8f66577f6fb2e7,18,18,3000
0xC7Df4f4077b956B262e012Bc2D09070828352a64,3,0x6f0eB5310DD8cf737BA8DE08Fa60ad7044353599,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,500
